"first name","Last name","Email Address","Phone Number","Zip Code","Marketing Permissions",MEMBER_RATING,OPTIN_TIME,OPTIN_IP,CONFIRM_TIME,CONFIRM_IP,LATITUDE,LONGITUDE,GMTOFF,DSTOFF,TIMEZONE,CC,REGION,LAST_CHANGED,LEID,EUID,NOTES,TAGS
Jay,Lareinette,jaylareinette@gmail.com,0634436785,34760,Email,2,"2019-08-04 09:25:19",,"2019-08-04 09:25:19",84.97.203.35,45.7363000,3.1412100,1,2,Europe/Paris,FR,ARA,"2019-08-04 09:25:19",362009149,3cbdfc4b35,,
Pierre,palnor,pierpalnor@gmail.com,0723523544,35340,Email,2,"2019-08-04 08:48:12",,"2019-08-04 08:48:12",84.97.203.35,45.7363000,3.1412100,1,2,Europe/Paris,FR,ARA,"2019-08-04 08:48:12",362008729,5afa6ce46c,,
Delphine,Talaron,talarondelfine@gmail.com,0644738291,73440,"Email, Direct Mail, Customized Online Advertising",2,"2019-08-04 08:46:36",,"2019-08-04 08:46:36",84.97.203.35,45.7363000,3.1412100,1,2,Europe/Paris,FR,ARA,"2019-08-04 08:46:36",362008705,588631aeb7,,
Thomas,Wock,tomawok@gmail.com,0782920345,45000,"Email, Direct Mail, Customized Online Advertising",2,"2019-08-04 08:39:36",,"2019-08-04 08:39:36",84.97.203.35,45.7363000,3.1412100,1,2,Europe/Paris,FR,ARA,"2019-08-04 08:39:36",362008597,39289dbf92,,
Jimmy,Hendrix,jimmyhendrix@gmail.com,0765748392,78044,"Email, Direct Mail, Customized Online Advertising",2,"2019-08-04 08:37:07",,"2019-08-04 08:37:07",84.97.203.35,45.7363000,3.1412100,1,2,Europe/Paris,FR,ARA,"2019-08-04 08:37:08",362008589,32147cc000,,
John,Deuf,johndeuf@hotmail.fr,0698343223,54000,"Email, Direct Mail, Customized Online Advertising",2,"2019-07-30 10:47:54",,"2019-07-30 10:47:54",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-30 10:47:54",360768305,97bf3eda31,,
paul,pot,polpot@gmail.com,0687960456,65000,"Email, Direct Mail, Customized Online Advertising",2,"2019-07-30 10:30:01",,"2019-07-30 10:30:01",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-30 10:30:02",360766613,bd79023e65,,
martine,alacampagne,malacampagne@gmail.com,0676543456,88000,"Email, Direct Mail, Customized Online Advertising",2,"2019-07-30 10:04:56",,"2019-07-30 10:04:56",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-30 10:04:57",360764661,4e72d358f7,,
jean,peuplu,jeanpeuplu@gmail.com,0612345678,93000,,2,"2019-07-29 09:21:30",,"2019-07-29 09:21:30",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-29 09:21:30",360489417,760f010643,,
johns,Tagada,youpicestchouette@gmail.com,0688775544,75000,,2,"2019-07-26 10:53:05",,"2019-07-26 10:53:05",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-26 10:53:05",359994369,30e66be23d,,
Black,Widow,taslefeu@gmail.com,064534'412,78000,,2,"2019-07-26 10:26:10",,"2019-07-26 10:26:10",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-26 10:26:10",359975729,a96a30d287,,
Johnny,Hallyday,allumerlefeu@gmail.com,0645342312,63000,,2,"2019-07-26 10:23:34",,"2019-07-26 10:23:34",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-26 10:23:34",359975689,6bbcffc62e,,
Marie,Chenevard,mary_mc@hotmail.fr,,,,2,"2019-07-26 08:25:48",,"2019-07-26 08:25:48",212.51.173.22,,,,,,,,"2019-07-26 08:25:48",359737669,2eef404548,,
